subject,predicate,object,root,synonyms
pyrrolidine substituent or a methylsulfanyl group,show,aromatic  pi  ndash  ,show,"{'shew', 'prove', 'reveal', 'display', 'show', 'depict', 'express', 'point', 'establish', 'exhibit', 'render', 'demo', 'demonstrate', 'testify', 'picture', 'evidence', 'evince', 'indicate', 'present'}"
pyrrolidine substituent or a methylsulfanyl group,stacking,aromatic  pi  ndash  ,stack,"{'stack', 'heap', 'pile'}"
absolute configuration,was,title compound,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
absolute configuration,determined,title compound,determine,"{'decide', 'settle', 'mold', 'ascertain', 'shape', 'find', 'see', 'fix', 'specify', 'influence', 'limit', 'regulate', 'learn', 'watch', 'set', 'determine'}"
Si frame,is,Si distance,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
Si frame,has,Si distance,have,"{'ingest', 'give', 'hold', 'get', 'receive', 'undergo', 'own', 'have', 'experience', 'possess', 'feature', 'let', 'consume'}"
phenyl and benzene,are,maximum deviations,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
sulfonamide group,is involved,mdash H,involve,"{'involve', 'affect', 'demand', 'postulate', 'ask', 'take', 'regard', 'require', 'necessitate', 'imply', 'need'}"
maximum resolution,depend,diffraction conditions,depend,"{'depend', 'count', 'reckon', 'bet', 'calculate'}"
biomacromolecular crystal quality,depend,experimental diffraction conditions,depend,"{'depend', 'count', 'reckon', 'bet', 'calculate'}"
plot method,are described,B factor,describe,"{'describe', 'distinguish', 'account', 'trace', 'name', 'draw', 'line', 'depict', 'delineate', 'identify', 'key', 'discover', 'report'}"
plot method,is shown,B factor,show,"{'shew', 'prove', 'reveal', 'display', 'show', 'depict', 'express', 'point', 'establish', 'exhibit', 'render', 'demo', 'demonstrate', 'testify', 'picture', 'evidence', 'evince', 'indicate', 'present'}"
plot method,is,B factor,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
B factor,is,protein crystals,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
Wilson plot method,are described,overall B factor,describe,"{'describe', 'distinguish', 'account', 'trace', 'name', 'draw', 'line', 'depict', 'delineate', 'identify', 'key', 'discover', 'report'}"
Wilson plot method,is shown,overall B factor,show,"{'shew', 'prove', 'reveal', 'display', 'show', 'depict', 'express', 'point', 'establish', 'exhibit', 'render', 'demo', 'demonstrate', 'testify', 'picture', 'evidence', 'evince', 'indicate', 'present'}"
Wilson plot method,is,overall B factor,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
overall B factor,is,characterization of protein crystals,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
relative Wilson plot method,are described,overall B factor obtained from this plot,describe,"{'describe', 'distinguish', 'account', 'trace', 'name', 'draw', 'line', 'depict', 'delineate', 'identify', 'key', 'discover', 'report'}"
relative Wilson plot method,is shown,overall B factor obtained from this plot,show,"{'shew', 'prove', 'reveal', 'display', 'show', 'depict', 'express', 'point', 'establish', 'exhibit', 'render', 'demo', 'demonstrate', 'testify', 'picture', 'evidence', 'evince', 'indicate', 'present'}"
relative Wilson plot method,is,overall B factor obtained from this plot,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
sulfite reductase,were,neutron diffraction,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
case of HEWL crystal quality,appears,region of the crystallization phase diagram,appear,"{'appear', 'look', 'seem'}"
case of HEWL crystal quality,be,region of the crystallization phase diagram,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
title compound,was,palladium center,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
title compound,determined,palladium center,determine,"{'decide', 'settle', 'mold', 'ascertain', 'shape', 'find', 'see', 'fix', 'specify', 'influence', 'limit', 'regulate', 'learn', 'watch', 'set', 'determine'}"
two chloride ligands,are,classical hydrogen,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
two chloride ligands,involved,classical hydrogen,involve,"{'involve', 'affect', 'demand', 'postulate', 'ask', 'take', 'regard', 'require', 'necessitate', 'imply', 'need'}"
Zn atoms,are bridged,carboxylate groups,bridge,{'bridge'}
Ce atom,is,irregular polyhedron,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
cobalt nitrate,occurred,reaction process,occur,"{'happen', 'occur', 'hap', 'pass'}"
bond lengths,are,heterocyclic ring,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
title compound,has,bond lengths,have,"{'ingest', 'give', 'hold', 'get', 'receive', 'undergo', 'own', 'have', 'experience', 'possess', 'feature', 'let', 'consume'}"
crystal packing,is,Waals interactions,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
crystal packing,stabilized,Waals interactions,stabilize,"{'brace', 'steady', 'stabilise', 'stabilize'}"
title compound,comprises,planar molecule,comprise,"{'contain', 'be', 'represent', 'incorporate', 'consist', 'comprise', 'constitute'}"
structure of the title compound,comprises,N mdash H,comprise,"{'contain', 'be', 'represent', 'incorporate', 'consist', 'comprise', 'constitute'}"
H atom,create,helical chains,create,"{'create', 'produce', 'make'}"
crystal structure,are involved,hydrogen bonds,involve,"{'involve', 'affect', 'demand', 'postulate', 'ask', 'take', 'regard', 'require', 'necessitate', 'imply', 'need'}"
phosphinate O atoms,are involved,water molecule of crystallization,involve,"{'involve', 'affect', 'demand', 'postulate', 'ask', 'take', 'regard', 'require', 'necessitate', 'imply', 'need'}"
title compound,contains,independent complexes,contain,"{'control', 'hold', 'contain', 'incorporate', 'check', 'stop', 'bear', 'arrest', 'curb', 'moderate', 'comprise', 'carry'}"
asymmetric unit,consisting,solvent molecule,consist,"{'lie', 'consist', 'dwell', 'comprise', 'belong'}"
two independent complexes in the asymmetric unit,consisting,one dimethylformamide solvent molecule,consist,"{'lie', 'consist', 'dwell', 'comprise', 'belong'}"
triazine molecule,is disordered,two conformations within the crystal,disorder,"{'disarray', 'cark', 'perturb', 'distract', 'disorder', 'disquiet', 'trouble', 'unhinge'}"
triazine ring planes,being,partially occupied molecules,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
hydrogen bonds,maintains,crystal structure,maintain,"{'conserve', 'wield', 'maintain', 'preserve', 'assert', 'hold', 'defend', 'sustain', 'uphold', 'exert', 'asseverate', 'keep'}"
crystal structure,exist,centrosymmetric N,exist,"{'exist', 'survive', 'be', 'subsist', 'live'}"
title compound,is,crystallographic symmetry,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
crystal structure,involves,mdash H,involve,"{'involve', 'affect', 'demand', 'postulate', 'ask', 'take', 'regard', 'require', 'necessitate', 'imply', 'need'}"
benzene rings,are rotated,opposite directions,rotate,"{'splay', 'rotate', 'revolve'}"
molecule of the title compound,are rotated,C mdash C,rotate,"{'splay', 'rotate', 'revolve'}"
crystal structure,are paired,mdash H,pair,"{'mate', 'pair', 'couple', 'match', 'copulate', 'geminate', 'twin'}"
bay area,forming,molecular chains,form,"{'forge', 'spring', 'form', 'mold', 'shape', 'organise', 'mould', 'imprint', 'constitute', 'organize'}"
diethyl N,be considered,ester functionalities,consider,"{'moot', 'see', 'view', 'debate', 'deliberate', 'study', 'think', 'regard', 'consider', 'deal', 'weigh', 'count', 'reckon', 'believe', 'conceive'}"
diethyl N,being,ester functionalities,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
diethyl N,composed,ester functionalities,compose,"{'write', 'compile', 'frame', 'indite', 'compose', 'pen'}"
carbonyl groups,are,mdash C,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
b axis,are formed,C mdash,form,"{'forge', 'spring', 'form', 'mold', 'shape', 'organise', 'mould', 'imprint', 'constitute', 'organize'}"
Infinite supramolecular tapes,are formed,soft C mdash,form,"{'forge', 'spring', 'form', 'mold', 'shape', 'organise', 'mould', 'imprint', 'constitute', 'organize'}"
title molecule,is,all the rings being in the same plane,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
lateral chains,are,H atoms,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
lateral chains,excluding,H atoms,exclude,"{'exclude', 'debar', 'expel', 'bar', 'omit', 'shut', 'eject', 'except'}"
title compound,consists,symmetric moieties,consist,"{'lie', 'consist', 'dwell', 'comprise', 'belong'}"
keto form,make,comparable contributions,make,"{'produce', 'stimulate', 'draw', 'create', 'do', 'induce', 'make', 'cause'}"
supramolecular chains,are formed,mdash H,form,"{'forge', 'spring', 'form', 'mold', 'shape', 'organise', 'mould', 'imprint', 'constitute', 'organize'}"
infinite supramolecular chains,are formed,N mdash H,form,"{'forge', 'spring', 'form', 'mold', 'shape', 'organise', 'mould', 'imprint', 'constitute', 'organize'}"
certain quantity,is,crystal structure,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
crystal structure,is,phase problem,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
crystal structure,is employed,phase problem,employ,"{'use', 'employ', 'utilize', 'utilise', 'hire', 'apply', 'engage'}"
crystal structure,solve,phase problem,solve,"{'lick', 'resolve', 'solve'}"
mathematical formulation,is,optimization problem,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
mathematical formulation of the minimal principle,is,nonlinear optimization problem,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
computer architectures,have been,very large number,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
computer architectures,used,very large number,use,"{'expend', 'use', 'employ', 'utilize', 'habituate', 'utilise', 'practice', 'apply'}"
computer architectures,solve,very large number,solve,"{'lick', 'resolve', 'solve'}"
computer architectures,have,very large number,have,"{'ingest', 'give', 'hold', 'get', 'receive', 'undergo', 'own', 'have', 'experience', 'possess', 'feature', 'let', 'consume'}"
advanced computer architectures,have been,very large number of local optima,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
advanced computer architectures,used,very large number of local optima,use,"{'expend', 'use', 'employ', 'utilize', 'habituate', 'utilise', 'practice', 'apply'}"
advanced computer architectures,solve,very large number of local optima,solve,"{'lick', 'resolve', 'solve'}"
advanced computer architectures,have,very large number of local optima,have,"{'ingest', 'give', 'hold', 'get', 'receive', 'undergo', 'own', 'have', 'experience', 'possess', 'feature', 'let', 'consume'}"
principle model,is reformulated,centrosymmetric structures,reformulate,"{'reformulate', 'redevelop'}"
minimal principle model,is reformulated,case of centrosymmetric structures,reformulate,"{'reformulate', 'redevelop'}"
combinatorial optimization techniques,are,finite number of steps,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
well established combinatorial optimization techniques,are,explicit enumeration of all possible combinations of phases,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
structures of moderate complexity,is provided,crystallographic phase problem,provide,"{'supply', 'allow', 'furnish', 'leave', 'cater', 'ply', 'render', 'provide'}"
structures of moderate complexity,demonstrates,crystallographic phase problem,demonstrate,"{'demonstrate', 'establish', 'shew', 'prove', 'exhibit', 'manifest', 'certify', 'evidence', 'present', 'show', 'march', 'attest', 'demo'}"
structures of moderate complexity,yields,crystallographic phase problem,yield,"{'generate', 'give', 'concede', 'yield', 'render', 'grant', 'afford', 'cede', 'relent', 'succumb', 'soften'}"
scattering vectors,employing,contrast variation,employ,"{'use', 'employ', 'utilize', 'utilise', 'hire', 'apply', 'engage'}"
contrast variation,determine,micelle morphology,determine,"{'decide', 'settle', 'mold', 'ascertain', 'shape', 'find', 'see', 'fix', 'specify', 'influence', 'limit', 'regulate', 'learn', 'watch', 'set', 'determine'}"
large range of scattering vectors,employing,overall micelle morphology,employ,"{'use', 'employ', 'utilize', 'utilise', 'hire', 'apply', 'engage'}"
large range of scattering vectors,determine,overall micelle morphology,determine,"{'decide', 'settle', 'mold', 'ascertain', 'shape', 'find', 'see', 'fix', 'specify', 'influence', 'limit', 'regulate', 'learn', 'watch', 'set', 'determine'}"
SLS contrasts,are,homogeneous contrast,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
SLS contrasts,providing,homogeneous contrast,provide,"{'supply', 'allow', 'furnish', 'leave', 'cater', 'ply', 'render', 'provide'}"
homogeneous contrast,making,SLS ideal,make,"{'produce', 'stimulate', 'draw', 'create', 'do', 'induce', 'make', 'cause'}"
PEO corona,is fitted,SLS data,fit,"{'jibe', 'gibe', 'check', 'agree', 'meet', 'equip', 'suit', 'match', 'outfit', 'fit', 'correspond', 'accommodate', 'tally'}"
SLS data,using,different contrasts,use,"{'expend', 'use', 'employ', 'utilize', 'habituate', 'utilise', 'practice', 'apply'}"
PEP core and PEO corona,is fitted,different contrasts of the two blocks for each technique,fit,"{'jibe', 'gibe', 'check', 'agree', 'meet', 'equip', 'suit', 'match', 'outfit', 'fit', 'correspond', 'accommodate', 'tally'}"
PEP core and PEO corona,using,different contrasts of the two blocks for each technique,use,"{'expend', 'use', 'employ', 'utilize', 'habituate', 'utilise', 'practice', 'apply'}"
dispersion surface,produce,diffracted intensity,produce,"{'produce', 'grow', 'acquire', 'create', 'farm', 'develop', 'raise', 'make'}"
same branch of the dispersion surface,produce,beating in the diffracted intensity,produce,"{'produce', 'grow', 'acquire', 'create', 'farm', 'develop', 'raise', 'make'}"
usual Pendell ouml,is observed,plane wave conditions,observe,"{'honour', 'respect', 'celebrate', 'find', 'note', 'honor', 'mention', 'detect', 'keep', 'remark', 'observe', 'notice', 'watch', 'discover'}"
usual Pendell ouml,beating,plane wave conditions,beat,"{'thump', 'pound', 'shell', 'beat', 'crush', 'flap', 'trounce', 'drum', 'thrum', 'vanquish'}"
usual Pendell ouml sung,is observed,spherical rather than plane wave conditions,observe,"{'honour', 'respect', 'celebrate', 'find', 'note', 'honor', 'mention', 'detect', 'keep', 'remark', 'observe', 'notice', 'watch', 'discover'}"
usual Pendell ouml sung,beating,spherical rather than plane wave conditions,beat,"{'thump', 'pound', 'shell', 'beat', 'crush', 'flap', 'trounce', 'drum', 'thrum', 'vanquish'}"
present experiment,uses,effective width,use,"{'expend', 'use', 'employ', 'utilize', 'habituate', 'utilise', 'practice', 'apply'}"
present experiment,increase,effective width,increase,{'increase'}
first crystal,increase,effective width of the incident wave,increase,{'increase'}
Quantitative fringe,are,fair agreement,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
Quantitative fringe measurements,are,fair agreement with theory,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
contrast of the fringes,are,poor agreement,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
intensity and contrast of the fringes,are,poor agreement with theory,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
intensity dislocations,be brought,good agreement,bring,"{'impart', 'contribute', 'institute', 'get', 'take', 'fetch', 'convey', 'bring', 'wreak', 'lend', 'add', 'land', 'bestow'}"
asymmetric unit,contains,porphyrin molecule,contain,"{'control', 'hold', 'contain', 'incorporate', 'check', 'stop', 'bear', 'arrest', 'curb', 'moderate', 'comprise', 'carry'}"
Pd atom,is coordinated,S atoms,coordinate,"{'coordinate', 'organise', 'align', 'ordinate', 'organize'}"
Pd mdash,is,P distance,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
N atom from pyridine,is,mdash P distance,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
title compound,shows,metal ion,show,"{'shew', 'prove', 'reveal', 'display', 'show', 'depict', 'express', 'point', 'establish', 'exhibit', 'render', 'demo', 'demonstrate', 'testify', 'picture', 'evidence', 'evince', 'indicate', 'present'}"
title compound,be,metal ion,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
octahedral coordination,is completed,chloride ion,complete,"{'finish', 'dispatch', 'discharge', 'nail', 'complete'}"
water molecules,are,mer arrangement,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
octahedral coordination environment,is completed,three water molecules which are in a mer arrangement,complete,"{'finish', 'dispatch', 'discharge', 'nail', 'complete'}"
Sn atom of the title compound,is,distorted tetrahedral geometry,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
title compound,belongs,antiprotozoal drugs,belong,"{'lie', 'belong', 'dwell', 'consist'}"
aluminium digermanide,were synthesized,corresponding elements,synthesize,"{'synthesize', 'synthesise'}"
didysprosium aluminium digermanide,were synthesized,melting in the presence of Ni,synthesize,"{'synthesize', 'synthesise'}"
metal atoms,are distorted,capping atoms,distort,"{'twine', 'contort', 'garble', 'warp', 'tinge', 'strain', 'twist', 'wring', 'falsify', 'colour', 'deform', 'color', 'distort'}"
polyhedra around the metal atoms,are distorted,additional capping atoms,distort,"{'twine', 'contort', 'garble', 'warp', 'tinge', 'strain', 'twist', 'wring', 'falsify', 'colour', 'deform', 'color', 'distort'}"
title coordination,was,aerobic oxidation,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
title coordination,formed,aerobic oxidation,form,"{'forge', 'spring', 'form', 'mold', 'shape', 'organise', 'mould', 'imprint', 'constitute', 'organize'}"
CuII cation,is located,centre of inversion,locate,"{'place', 'settle', 'site', 'situate', 'locate'}"
centre of inversion,is,octahedral geometry,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
centre of inversion,exists,octahedral geometry,exist,"{'exist', 'survive', 'be', 'subsist', 'live'}"
title compound,was,methoxymethyl phenyl,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
title compound,obtained,methoxymethyl phenyl,obtain,"{'get', 'receive', 'obtain', 'prevail', 'incur'}"
crystal structure,is stabilized,hydrogen bond,stabilize,"{'brace', 'steady', 'stabilise', 'stabilize'}"
molecular packing in the crystal structure,is stabilized,intramolecular hydrogen bond and van,stabilize,"{'brace', 'steady', 'stabilise', 'stabilize'}"
site symmetry,are,framework with composition,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
phosphide pentanickel,has,reliability factors,have,"{'ingest', 'give', 'hold', 'get', 'receive', 'undergo', 'own', 'have', 'experience', 'possess', 'feature', 'let', 'consume'}"
phosphide pentanickel,leading,reliability factors,lead,"{'go', 'lead', 'contribute', 'guide', 'extend', 'leave', 'take', 'conduct', 'conduce', 'head', 'pass', 'top', 'run', 'result', 'direct'}"
reliability factors,found,Elfstr ouml,found,"{'institute', 'establish', 'base', 'found', 'launch', 'constitute', 'plant'}"
phosphide pentanickel tetraphosphide,has,improved reliability factors,have,"{'ingest', 'give', 'hold', 'get', 'receive', 'undergo', 'own', 'have', 'experience', 'possess', 'feature', 'let', 'consume'}"
phosphide pentanickel tetraphosphide,leading,improved reliability factors,lead,"{'go', 'lead', 'contribute', 'guide', 'extend', 'leave', 'take', 'conduct', 'conduce', 'head', 'pass', 'top', 'run', 'result', 'direct'}"
inversion symmetry,requires,coordination planes,require,"{'command', 'involve', 'compel', 'demand', 'ask', 'want', 'postulate', 'take', 'expect', 'require', 'necessitate', 'need'}"
two chelate rings,tilt,mean plane,tilt,"{'lean', 'angle', 'slant', 'tilt', 'pitch', 'shift', 'wobble', 'careen', 'tip', 'cant'}"
two chelate rings,lying,mean plane,lie,"{'lie', 'rest', 'consist', 'dwell', 'belong'}"
two chelate planes,form,dihedral angle,form,"{'forge', 'spring', 'form', 'mold', 'shape', 'organise', 'mould', 'imprint', 'constitute', 'organize'}"
centrosymmetric complex cation,is,Cu and two tridentate ligands,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
Cu mdash N distances,are found,ndash Teller distortion,found,"{'institute', 'establish', 'base', 'found', 'launch', 'constitute', 'plant'}"
Cu mdash N distances,expected,ndash Teller distortion,expect,"{'ask', 'gestate', 'expect', 'require', 'anticipate', 'wait', 'look', 'await'}"
structure of Mycobacterium,has been,data sets,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
structure of Mycobacterium,determined,data sets,determine,"{'decide', 'settle', 'mold', 'ascertain', 'shape', 'find', 'see', 'fix', 'specify', 'influence', 'limit', 'regulate', 'learn', 'watch', 'set', 'determine'}"
structure of Mycobacterium,using,data sets,use,"{'expend', 'use', 'employ', 'utilize', 'habituate', 'utilise', 'practice', 'apply'}"
Mycobacterium tuberculosis,indicating,clamp arrangement,indicate,"{'betoken', 'bespeak', 'suggest', 'signal', 'show', 'argue', 'indicate', 'point'}"
ellipsoidal shape,are,characteristic features,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
homologue from Mycobacterium tuberculosis,indicating,ellipsoidal shape of the tetramer,indicate,"{'betoken', 'bespeak', 'suggest', 'signal', 'show', 'argue', 'indicate', 'point'}"
ellipsoidal shape of the tetramer,are,characteristic features of mycobacterial SSBs,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
The central OB fold,is conserved,Deinococcus radiodurans and human mitochondria,conserve,"{'conserve', 'maintain', 'preserve', 'husband', 'economize', 'economise'}"
quaternary structure,exhibits,considerable variability,exhibit,"{'demonstrate', 'parade', 'expose', 'exhibit', 'show', 'display', 'march', 'present', 'demo'}"
crystal structures,provide,rationale for the variability,provide,"{'supply', 'allow', 'furnish', 'leave', 'cater', 'ply', 'render', 'provide'}"
DNA binding of mycobacterial SSBs,is,difference in the shape of the tetramers,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
mode of DNA binding of mycobacterial SSBs,is,account of the difference in the shape of the tetramers,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
difference between the two modes,is,ionic interactions,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
ionic interactions,is,salt concentration,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
Protein crystallization,consists,initial screen,consist,"{'lie', 'consist', 'dwell', 'comprise', 'belong'}"
crystallization cocktails,requires,new cocktails,require,"{'command', 'involve', 'compel', 'demand', 'ask', 'want', 'postulate', 'take', 'expect', 'require', 'necessitate', 'need'}"
Asynchronous crystallization robots,create,crystallization cocktails from stock solutions,create,"{'create', 'produce', 'make'}"
optimization screens,rely,manual optimization,rely,"{'rely', 'swear', 'bank', 'trust'}"
software and dataflow,saves,cost and space,save,"{'preserve', 'salve', 'spare', 'salvage', 'save', 'deliver', 'economize', 'economise', 'redeem', 'relieve'}"
crystal screen,has been,commercial screen,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
crystal screen,reproduced,commercial screen,reproduce,"{'multiply', 'reproduce', 'regurgitate', 'procreate'}"
crystal screen,shows,commercial screen,show,"{'shew', 'prove', 'reveal', 'display', 'show', 'depict', 'express', 'point', 'establish', 'exhibit', 'render', 'demo', 'demonstrate', 'testify', 'picture', 'evidence', 'evince', 'indicate', 'present'}"
crystal screen,are,commercial screen,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
