subject,predicate,pred freq,object,root,root freq,synonyms
supramolecular chains,are formed,13,mdash H,form,86,"{'organize', 'form', 'constitute', 'spring', 'mould', 'forge', 'mold', 'imprint', 'organise', 'shape'}"
infinite supramolecular chains,are formed,13,N mdash H,form,86,"{'organize', 'form', 'constitute', 'spring', 'mould', 'forge', 'mold', 'imprint', 'organise', 'shape'}"
certain quantity,is,708,crystal structure,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
crystal structure,is,708,phase problem,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
crystal structure,is employed,1,phase problem,employ,4,"{'hire', 'utilize', 'use', 'employ', 'apply', 'engage', 'utilise'}"
crystal structure,solve,4,phase problem,solve,15,"{'solve', 'lick', 'resolve'}"
mathematical formulation,is,708,optimization problem,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
mathematical formulation of the minimal principle,is,708,nonlinear optimization problem,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
computer architectures,have been,53,very large number,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
computer architectures,used,28,very large number,use,164,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
computer architectures,solve,4,very large number,solve,15,"{'solve', 'lick', 'resolve'}"
computer architectures,have,53,very large number,have,146,"{'consume', 'let', 'get', 'receive', 'own', 'give', 'experience', 'have', 'possess', 'feature', 'hold', 'ingest', 'undergo'}"
advanced computer architectures,have been,53,very large number of local optima,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
advanced computer architectures,used,28,very large number of local optima,use,164,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
advanced computer architectures,solve,4,very large number of local optima,solve,15,"{'solve', 'lick', 'resolve'}"
advanced computer architectures,have,53,very large number of local optima,have,146,"{'consume', 'let', 'get', 'receive', 'own', 'give', 'experience', 'have', 'possess', 'feature', 'hold', 'ingest', 'undergo'}"
principle model,is reformulated,2,centrosymmetric structures,reformulate,2,"{'reformulate', 'redevelop'}"
minimal principle model,is reformulated,2,case of centrosymmetric structures,reformulate,2,"{'reformulate', 'redevelop'}"
combinatorial optimization techniques,are,282,finite number of steps,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
well established combinatorial optimization techniques,are,282,explicit enumeration of all possible combinations of phases,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
structures of moderate complexity,is provided,2,crystallographic phase problem,provide,41,"{'provide', 'furnish', 'leave', 'supply', 'ply', 'cater', 'render', 'allow'}"
structures of moderate complexity,demonstrates,3,crystallographic phase problem,demonstrate,9,"{'exhibit', 'march', 'show', 'manifest', 'attest', 'certify', 'evidence', 'shew', 'establish', 'demo', 'present', 'prove', 'demonstrate'}"
structures of moderate complexity,yields,4,crystallographic phase problem,yield,12,"{'concede', 'generate', 'soften', 'cede', 'relent', 'grant', 'render', 'succumb', 'yield', 'afford', 'give'}"
scattering vectors,employing,2,contrast variation,employ,4,"{'hire', 'utilize', 'use', 'employ', 'apply', 'engage', 'utilise'}"
contrast variation,determine,11,micelle morphology,determine,62,"{'watch', 'ascertain', 'find', 'regulate', 'see', 'limit', 'mold', 'decide', 'determine', 'settle', 'fix', 'influence', 'learn', 'shape', 'set', 'specify'}"
large range of scattering vectors,employing,2,overall micelle morphology,employ,4,"{'hire', 'utilize', 'use', 'employ', 'apply', 'engage', 'utilise'}"
large range of scattering vectors,determine,11,overall micelle morphology,determine,62,"{'watch', 'ascertain', 'find', 'regulate', 'see', 'limit', 'mold', 'decide', 'determine', 'settle', 'fix', 'influence', 'learn', 'shape', 'set', 'specify'}"
SLS contrasts,are,282,homogeneous contrast,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
SLS contrasts,providing,2,homogeneous contrast,provide,41,"{'provide', 'furnish', 'leave', 'supply', 'ply', 'cater', 'render', 'allow'}"
homogeneous contrast,making,5,SLS ideal,make,58,"{'produce', 'make', 'do', 'create', 'cause', 'draw', 'stimulate', 'induce'}"
PEO corona,is fitted,2,SLS data,fit,5,"{'suit', 'outfit', 'jibe', 'tally', 'check', 'gibe', 'match', 'correspond', 'fit', 'agree', 'meet', 'equip', 'accommodate'}"
SLS data,using,106,different contrasts,use,164,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
PEP core and PEO corona,is fitted,2,different contrasts of the two blocks for each technique,fit,5,"{'suit', 'outfit', 'jibe', 'tally', 'check', 'gibe', 'match', 'correspond', 'fit', 'agree', 'meet', 'equip', 'accommodate'}"
PEP core and PEO corona,using,106,different contrasts of the two blocks for each technique,use,164,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
dispersion surface,produce,11,diffracted intensity,produce,14,"{'produce', 'make', 'develop', 'raise', 'grow', 'acquire', 'farm', 'create'}"
same branch of the dispersion surface,produce,11,beating in the diffracted intensity,produce,14,"{'produce', 'make', 'develop', 'raise', 'grow', 'acquire', 'farm', 'create'}"
usual Pendell ouml,is observed,10,plane wave conditions,observe,29,"{'watch', 'celebrate', 'observe', 'keep', 'remark', 'note', 'detect', 'notice', 'honor', 'honour', 'respect', 'discover', 'mention', 'find'}"
usual Pendell ouml,beating,2,plane wave conditions,beat,2,"{'thrum', 'crush', 'flap', 'vanquish', 'thump', 'drum', 'shell', 'beat', 'pound', 'trounce'}"
usual Pendell ouml sung,is observed,10,spherical rather than plane wave conditions,observe,29,"{'watch', 'celebrate', 'observe', 'keep', 'remark', 'note', 'detect', 'notice', 'honor', 'honour', 'respect', 'discover', 'mention', 'find'}"
usual Pendell ouml sung,beating,2,spherical rather than plane wave conditions,beat,2,"{'thrum', 'crush', 'flap', 'vanquish', 'thump', 'drum', 'shell', 'beat', 'pound', 'trounce'}"
present experiment,uses,3,effective width,use,164,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
present experiment,increase,5,effective width,increase,7,{'increase'}
first crystal,increase,5,effective width of the incident wave,increase,7,{'increase'}
Quantitative fringe,are,282,fair agreement,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
Quantitative fringe measurements,are,282,fair agreement with theory,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
contrast of the fringes,are,282,poor agreement,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
intensity and contrast of the fringes,are,282,poor agreement with theory,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
intensity dislocations,be brought,1,good agreement,bring,1,"{'wreak', 'fetch', 'convey', 'get', 'institute', 'land', 'add', 'bestow', 'bring', 'lend', 'contribute', 'impart', 'take'}"
asymmetric unit,contains,54,porphyrin molecule,contain,69,"{'moderate', 'curb', 'check', 'bear', 'carry', 'comprise', 'arrest', 'incorporate', 'control', 'stop', 'hold', 'contain'}"
Pd atom,is coordinated,44,S atoms,coordinate,60,"{'organize', 'ordinate', 'organise', 'align', 'coordinate'}"
Pd mdash,is,708,P distance,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
N atom from pyridine,is,708,mdash P distance,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
title compound,shows,34,metal ion,show,94,"{'show', 'testify', 'depict', 'demo', 'indicate', 'picture', 'display', 'evince', 'shew', 'render', 'express', 'present', 'evidence', 'prove', 'point', 'exhibit', 'reveal', 'establish', 'demonstrate'}"
title compound,be,101,metal ion,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
octahedral coordination,is completed,7,chloride ion,complete,9,"{'dispatch', 'nail', 'discharge', 'complete', 'finish'}"
water molecules,are,282,mer arrangement,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
octahedral coordination environment,is completed,7,three water molecules which are in a mer arrangement,complete,9,"{'dispatch', 'nail', 'discharge', 'complete', 'finish'}"
Sn atom of the title compound,is,708,distorted tetrahedral geometry,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
title compound,belongs,3,antiprotozoal drugs,belong,9,"{'dwell', 'belong', 'lie', 'consist'}"
aluminium digermanide,were synthesized,2,corresponding elements,synthesize,12,"{'synthesise', 'synthesize'}"
didysprosium aluminium digermanide,were synthesized,2,melting in the presence of Ni,synthesize,12,"{'synthesise', 'synthesize'}"
metal atoms,are distorted,2,capping atoms,distort,5,"{'colour', 'strain', 'color', 'twist', 'twine', 'warp', 'garble', 'falsify', 'contort', 'tinge', 'distort', 'deform', 'wring'}"
polyhedra around the metal atoms,are distorted,2,additional capping atoms,distort,5,"{'colour', 'strain', 'color', 'twist', 'twine', 'warp', 'garble', 'falsify', 'contort', 'tinge', 'distort', 'deform', 'wring'}"
title coordination,was,146,aerobic oxidation,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
title coordination,formed,5,aerobic oxidation,form,86,"{'organize', 'form', 'constitute', 'spring', 'mould', 'forge', 'mold', 'imprint', 'organise', 'shape'}"
CuII cation,is located,10,centre of inversion,locate,24,"{'site', 'situate', 'place', 'settle', 'locate'}"
centre of inversion,is,708,octahedral geometry,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
centre of inversion,exists,10,octahedral geometry,exist,11,"{'be', 'survive', 'live', 'subsist', 'exist'}"
title compound,was,146,methoxymethyl phenyl,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
title compound,obtained,22,methoxymethyl phenyl,obtain,41,"{'prevail', 'get', 'incur', 'receive', 'obtain'}"
crystal structure,is stabilized,27,hydrogen bond,stabilize,46,"{'brace', 'stabilise', 'steady', 'stabilize'}"
molecular packing in the crystal structure,is stabilized,27,intramolecular hydrogen bond and van,stabilize,46,"{'brace', 'stabilise', 'steady', 'stabilize'}"
site symmetry,are,282,framework with composition,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
phosphide pentanickel,has,89,reliability factors,have,146,"{'consume', 'let', 'get', 'receive', 'own', 'give', 'experience', 'have', 'possess', 'feature', 'hold', 'ingest', 'undergo'}"
phosphide pentanickel,leading,7,reliability factors,lead,28,"{'head', 'extend', 'top', 'lead', 'conduce', 'go', 'pass', 'run', 'leave', 'guide', 'contribute', 'result', 'conduct', 'direct', 'take'}"
reliability factors,found,11,Elfstr ouml,found,28,"{'constitute', 'institute', 'base', 'establish', 'found', 'plant', 'launch'}"
phosphide pentanickel tetraphosphide,has,89,improved reliability factors,have,146,"{'consume', 'let', 'get', 'receive', 'own', 'give', 'experience', 'have', 'possess', 'feature', 'hold', 'ingest', 'undergo'}"
phosphide pentanickel tetraphosphide,leading,7,improved reliability factors,lead,28,"{'head', 'extend', 'top', 'lead', 'conduce', 'go', 'pass', 'run', 'leave', 'guide', 'contribute', 'result', 'conduct', 'direct', 'take'}"
inversion symmetry,requires,4,coordination planes,require,12,"{'postulate', 'compel', 'require', 'expect', 'demand', 'necessitate', 'command', 'involve', 'ask', 'need', 'want', 'take'}"
two chelate rings,tilt,1,mean plane,tilt,3,"{'angle', 'lean', 'slant', 'pitch', 'shift', 'cant', 'tip', 'tilt', 'careen', 'wobble'}"
two chelate rings,lying,4,mean plane,lie,39,"{'belong', 'consist', 'lie', 'rest', 'dwell'}"
two chelate planes,form,27,dihedral angle,form,86,"{'organize', 'form', 'constitute', 'spring', 'mould', 'forge', 'mold', 'imprint', 'organise', 'shape'}"
centrosymmetric complex cation,is,708,Cu and two tridentate ligands,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
Cu mdash N distances,are found,5,ndash Teller distortion,found,28,"{'constitute', 'institute', 'base', 'establish', 'found', 'plant', 'launch'}"
Cu mdash N distances,expected,1,ndash Teller distortion,expect,3,"{'expect', 'require', 'look', 'anticipate', 'gestate', 'ask', 'await', 'wait'}"
structure of Mycobacterium,has been,89,data sets,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
structure of Mycobacterium,determined,33,data sets,determine,62,"{'watch', 'ascertain', 'find', 'regulate', 'see', 'limit', 'mold', 'decide', 'determine', 'settle', 'fix', 'influence', 'learn', 'shape', 'set', 'specify'}"
structure of Mycobacterium,using,106,data sets,use,164,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
Mycobacterium tuberculosis,indicating,6,clamp arrangement,indicate,22,"{'signal', 'bespeak', 'suggest', 'show', 'indicate', 'argue', 'betoken', 'point'}"
ellipsoidal shape,are,282,characteristic features,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
homologue from Mycobacterium tuberculosis,indicating,6,ellipsoidal shape of the tetramer,indicate,22,"{'signal', 'bespeak', 'suggest', 'show', 'indicate', 'argue', 'betoken', 'point'}"
ellipsoidal shape of the tetramer,are,282,characteristic features of mycobacterial SSBs,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
The central OB fold,is conserved,2,Deinococcus radiodurans and human mitochondria,conserve,2,"{'economise', 'economize', 'maintain', 'preserve', 'conserve', 'husband'}"
quaternary structure,exhibits,20,considerable variability,exhibit,25,"{'exhibit', 'parade', 'show', 'expose', 'display', 'present', 'demo', 'march', 'demonstrate'}"
crystal structures,provide,12,rationale for the variability,provide,41,"{'provide', 'furnish', 'leave', 'supply', 'ply', 'cater', 'render', 'allow'}"
