subject,predicate,object,root,synonyms
maximum deviation,forms,dihedral angle,form,"{'organize', 'form', 'constitute', 'spring', 'mould', 'forge', 'mold', 'imprint', 'organise', 'shape'}"
pairs of molecules,are linked,mdash H,link,"{'yoke', 'tie', 'associate', 'link', 'relate', 'connect', 'colligate', 'join', 'unite'}"
pyrrole rings,are inclined,propanol chain,incline,"{'lean', 'slope', 'incline', 'dispose', 'pitch', 'tend'}"
propanol chain,is,extended conformation,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
NH groups,are involved,mdash H,involve,"{'imply', 'require', 'demand', 'necessitate', 'involve', 'affect', 'ask', 'need', 'postulate', 'take', 'regard'}"
two pyrrole NH groups,are involved,N mdash H,involve,"{'imply', 'require', 'demand', 'necessitate', 'involve', 'affect', 'ask', 'need', 'postulate', 'take', 'regard'}"
crystal structure,is,H atom,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
interesting feature of the crystal structure,is,conventional hydrogen bonds,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
title molecule,features,E conformation,feature,"{'boast', 'feature', 'have', 'sport'}"
crystal structure,is consolidated,mdash H,consolidate,{'consolidate'}
methylsulfanyl group,show,aromatic  pi  ,show,"{'show', 'testify', 'depict', 'demo', 'indicate', 'picture', 'display', 'evince', 'shew', 'render', 'express', 'present', 'evidence', 'prove', 'point', 'exhibit', 'reveal', 'establish', 'demonstrate'}"
methylsulfanyl group,stacking,aromatic  pi  ,stack,"{'pile', 'heap', 'stack'}"
pyrrolidine substituent or a methylsulfanyl group,show,aromatic  pi  ndash  ,show,"{'show', 'testify', 'depict', 'demo', 'indicate', 'picture', 'display', 'evince', 'shew', 'render', 'express', 'present', 'evidence', 'prove', 'point', 'exhibit', 'reveal', 'establish', 'demonstrate'}"
pyrrolidine substituent or a methylsulfanyl group,stacking,aromatic  pi  ndash  ,stack,"{'pile', 'heap', 'stack'}"
absolute configuration,was,title compound,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
absolute configuration,determined,title compound,determine,"{'watch', 'ascertain', 'find', 'regulate', 'see', 'limit', 'mold', 'decide', 'determine', 'settle', 'fix', 'influence', 'learn', 'shape', 'set', 'specify'}"
Si frame,is,Si distance,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
Si frame,has,Si distance,have,"{'consume', 'let', 'get', 'receive', 'own', 'give', 'experience', 'have', 'possess', 'feature', 'hold', 'ingest', 'undergo'}"
phenyl and benzene,are,maximum deviations,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
sulfonamide group,is involved,mdash H,involve,"{'imply', 'require', 'demand', 'necessitate', 'involve', 'affect', 'ask', 'need', 'postulate', 'take', 'regard'}"
maximum resolution,depend,diffraction conditions,depend,"{'depend', 'count', 'bet', 'calculate', 'reckon'}"
biomacromolecular crystal quality,depend,experimental diffraction conditions,depend,"{'depend', 'count', 'bet', 'calculate', 'reckon'}"
plot method,are described,B factor,describe,"{'report', 'delineate', 'line', 'identify', 'distinguish', 'account', 'key', 'depict', 'name', 'draw', 'discover', 'describe', 'trace'}"
plot method,is shown,B factor,show,"{'show', 'testify', 'depict', 'demo', 'indicate', 'picture', 'display', 'evince', 'shew', 'render', 'express', 'present', 'evidence', 'prove', 'point', 'exhibit', 'reveal', 'establish', 'demonstrate'}"
plot method,is,B factor,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
B factor,is,protein crystals,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
Wilson plot method,are described,overall B factor,describe,"{'report', 'delineate', 'line', 'identify', 'distinguish', 'account', 'key', 'depict', 'name', 'draw', 'discover', 'describe', 'trace'}"
Wilson plot method,is shown,overall B factor,show,"{'show', 'testify', 'depict', 'demo', 'indicate', 'picture', 'display', 'evince', 'shew', 'render', 'express', 'present', 'evidence', 'prove', 'point', 'exhibit', 'reveal', 'establish', 'demonstrate'}"
Wilson plot method,is,overall B factor,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
overall B factor,is,characterization of protein crystals,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
relative Wilson plot method,are described,overall B factor obtained from this plot,describe,"{'report', 'delineate', 'line', 'identify', 'distinguish', 'account', 'key', 'depict', 'name', 'draw', 'discover', 'describe', 'trace'}"
relative Wilson plot method,is shown,overall B factor obtained from this plot,show,"{'show', 'testify', 'depict', 'demo', 'indicate', 'picture', 'display', 'evince', 'shew', 'render', 'express', 'present', 'evidence', 'prove', 'point', 'exhibit', 'reveal', 'establish', 'demonstrate'}"
relative Wilson plot method,is,overall B factor obtained from this plot,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
sulfite reductase,were,neutron diffraction,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
case of HEWL crystal quality,appears,region of the crystallization phase diagram,appear,"{'seem', 'appear', 'look'}"
case of HEWL crystal quality,be,region of the crystallization phase diagram,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
title compound,was,palladium center,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
title compound,determined,palladium center,determine,"{'watch', 'ascertain', 'find', 'regulate', 'see', 'limit', 'mold', 'decide', 'determine', 'settle', 'fix', 'influence', 'learn', 'shape', 'set', 'specify'}"
two chloride ligands,are,classical hydrogen,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
two chloride ligands,involved,classical hydrogen,involve,"{'imply', 'require', 'demand', 'necessitate', 'involve', 'affect', 'ask', 'need', 'postulate', 'take', 'regard'}"
Zn atoms,are bridged,carboxylate groups,bridge,{'bridge'}
Ce atom,is,irregular polyhedron,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
cobalt nitrate,occurred,reaction process,occur,"{'hap', 'occur', 'pass', 'happen'}"
bond lengths,are,heterocyclic ring,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
title compound,has,bond lengths,have,"{'consume', 'let', 'get', 'receive', 'own', 'give', 'experience', 'have', 'possess', 'feature', 'hold', 'ingest', 'undergo'}"
crystal packing,is,Waals interactions,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
crystal packing,stabilized,Waals interactions,stabilize,"{'brace', 'stabilise', 'steady', 'stabilize'}"
title compound,comprises,planar molecule,comprise,"{'represent', 'constitute', 'be', 'consist', 'comprise', 'incorporate', 'contain'}"
structure of the title compound,comprises,N mdash H,comprise,"{'represent', 'constitute', 'be', 'consist', 'comprise', 'incorporate', 'contain'}"
H atom,create,helical chains,create,"{'produce', 'make', 'create'}"
crystal structure,are involved,hydrogen bonds,involve,"{'imply', 'require', 'demand', 'necessitate', 'involve', 'affect', 'ask', 'need', 'postulate', 'take', 'regard'}"
phosphinate O atoms,are involved,water molecule of crystallization,involve,"{'imply', 'require', 'demand', 'necessitate', 'involve', 'affect', 'ask', 'need', 'postulate', 'take', 'regard'}"
title compound,contains,independent complexes,contain,"{'moderate', 'curb', 'check', 'bear', 'carry', 'comprise', 'arrest', 'incorporate', 'control', 'stop', 'hold', 'contain'}"
asymmetric unit,consisting,solvent molecule,consist,"{'belong', 'consist', 'comprise', 'lie', 'dwell'}"
two independent complexes in the asymmetric unit,consisting,one dimethylformamide solvent molecule,consist,"{'belong', 'consist', 'comprise', 'lie', 'dwell'}"
triazine molecule,is disordered,two conformations within the crystal,disorder,"{'cark', 'perturb', 'trouble', 'disquiet', 'distract', 'unhinge', 'disorder', 'disarray'}"
triazine ring planes,being,partially occupied molecules,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
hydrogen bonds,maintains,crystal structure,maintain,"{'uphold', 'keep', 'assert', 'maintain', 'wield', 'preserve', 'asseverate', 'conserve', 'sustain', 'defend', 'exert', 'hold'}"
crystal structure,exist,centrosymmetric N,exist,"{'be', 'survive', 'live', 'subsist', 'exist'}"
title compound,is,crystallographic symmetry,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
crystal structure,involves,mdash H,involve,"{'imply', 'require', 'demand', 'necessitate', 'involve', 'affect', 'ask', 'need', 'postulate', 'take', 'regard'}"
benzene rings,are rotated,opposite directions,rotate,"{'splay', 'rotate', 'revolve'}"
molecule of the title compound,are rotated,C mdash C,rotate,"{'splay', 'rotate', 'revolve'}"
crystal structure,are paired,mdash H,pair,"{'copulate', 'couple', 'pair', 'twin', 'match', 'mate', 'geminate'}"
bay area,forming,molecular chains,form,"{'organize', 'form', 'constitute', 'spring', 'mould', 'forge', 'mold', 'imprint', 'organise', 'shape'}"
diethyl N,be considered,ester functionalities,consider,"{'study', 'deliberate', 'weigh', 'count', 'moot', 'debate', 'believe', 'consider', 'see', 'reckon', 'deal', 'think', 'conceive', 'view', 'regard'}"
diethyl N,being,ester functionalities,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
diethyl N,composed,ester functionalities,compose,"{'compile', 'pen', 'compose', 'write', 'indite', 'frame'}"
carbonyl groups,are,mdash C,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
b axis,are formed,C mdash,form,"{'organize', 'form', 'constitute', 'spring', 'mould', 'forge', 'mold', 'imprint', 'organise', 'shape'}"
Infinite supramolecular tapes,are formed,soft C mdash,form,"{'organize', 'form', 'constitute', 'spring', 'mould', 'forge', 'mold', 'imprint', 'organise', 'shape'}"
title molecule,is,all the rings being in the same plane,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
lateral chains,are,H atoms,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
lateral chains,excluding,H atoms,exclude,"{'exclude', 'expel', 'except', 'eject', 'omit', 'shut', 'bar', 'debar'}"
title compound,consists,symmetric moieties,consist,"{'belong', 'consist', 'comprise', 'lie', 'dwell'}"
keto form,make,comparable contributions,make,"{'produce', 'make', 'do', 'create', 'cause', 'draw', 'stimulate', 'induce'}"
supramolecular chains,are formed,mdash H,form,"{'organize', 'form', 'constitute', 'spring', 'mould', 'forge', 'mold', 'imprint', 'organise', 'shape'}"
infinite supramolecular chains,are formed,N mdash H,form,"{'organize', 'form', 'constitute', 'spring', 'mould', 'forge', 'mold', 'imprint', 'organise', 'shape'}"
certain quantity,is,crystal structure,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
crystal structure,is,phase problem,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
crystal structure,is employed,phase problem,employ,"{'hire', 'utilize', 'use', 'employ', 'apply', 'engage', 'utilise'}"
crystal structure,solve,phase problem,solve,"{'solve', 'lick', 'resolve'}"
mathematical formulation,is,optimization problem,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
mathematical formulation of the minimal principle,is,nonlinear optimization problem,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
computer architectures,have been,very large number,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
computer architectures,used,very large number,use,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
computer architectures,solve,very large number,solve,"{'solve', 'lick', 'resolve'}"
computer architectures,have,very large number,have,"{'consume', 'let', 'get', 'receive', 'own', 'give', 'experience', 'have', 'possess', 'feature', 'hold', 'ingest', 'undergo'}"
advanced computer architectures,have been,very large number of local optima,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
advanced computer architectures,used,very large number of local optima,use,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
advanced computer architectures,solve,very large number of local optima,solve,"{'solve', 'lick', 'resolve'}"
advanced computer architectures,have,very large number of local optima,have,"{'consume', 'let', 'get', 'receive', 'own', 'give', 'experience', 'have', 'possess', 'feature', 'hold', 'ingest', 'undergo'}"
principle model,is reformulated,centrosymmetric structures,reformulate,"{'reformulate', 'redevelop'}"
minimal principle model,is reformulated,case of centrosymmetric structures,reformulate,"{'reformulate', 'redevelop'}"
combinatorial optimization techniques,are,finite number of steps,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
well established combinatorial optimization techniques,are,explicit enumeration of all possible combinations of phases,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
structures of moderate complexity,is provided,crystallographic phase problem,provide,"{'provide', 'furnish', 'leave', 'supply', 'ply', 'cater', 'render', 'allow'}"
structures of moderate complexity,demonstrates,crystallographic phase problem,demonstrate,"{'exhibit', 'march', 'show', 'manifest', 'attest', 'certify', 'evidence', 'shew', 'establish', 'demo', 'present', 'prove', 'demonstrate'}"
structures of moderate complexity,yields,crystallographic phase problem,yield,"{'concede', 'generate', 'soften', 'cede', 'relent', 'grant', 'render', 'succumb', 'yield', 'afford', 'give'}"
scattering vectors,employing,contrast variation,employ,"{'hire', 'utilize', 'use', 'employ', 'apply', 'engage', 'utilise'}"
contrast variation,determine,micelle morphology,determine,"{'watch', 'ascertain', 'find', 'regulate', 'see', 'limit', 'mold', 'decide', 'determine', 'settle', 'fix', 'influence', 'learn', 'shape', 'set', 'specify'}"
large range of scattering vectors,employing,overall micelle morphology,employ,"{'hire', 'utilize', 'use', 'employ', 'apply', 'engage', 'utilise'}"
large range of scattering vectors,determine,overall micelle morphology,determine,"{'watch', 'ascertain', 'find', 'regulate', 'see', 'limit', 'mold', 'decide', 'determine', 'settle', 'fix', 'influence', 'learn', 'shape', 'set', 'specify'}"
SLS contrasts,are,homogeneous contrast,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
SLS contrasts,providing,homogeneous contrast,provide,"{'provide', 'furnish', 'leave', 'supply', 'ply', 'cater', 'render', 'allow'}"
homogeneous contrast,making,SLS ideal,make,"{'produce', 'make', 'do', 'create', 'cause', 'draw', 'stimulate', 'induce'}"
PEO corona,is fitted,SLS data,fit,"{'suit', 'outfit', 'jibe', 'tally', 'check', 'gibe', 'match', 'correspond', 'fit', 'agree', 'meet', 'equip', 'accommodate'}"
SLS data,using,different contrasts,use,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
PEP core and PEO corona,is fitted,different contrasts of the two blocks for each technique,fit,"{'suit', 'outfit', 'jibe', 'tally', 'check', 'gibe', 'match', 'correspond', 'fit', 'agree', 'meet', 'equip', 'accommodate'}"
PEP core and PEO corona,using,different contrasts of the two blocks for each technique,use,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
dispersion surface,produce,diffracted intensity,produce,"{'produce', 'make', 'develop', 'raise', 'grow', 'acquire', 'farm', 'create'}"
same branch of the dispersion surface,produce,beating in the diffracted intensity,produce,"{'produce', 'make', 'develop', 'raise', 'grow', 'acquire', 'farm', 'create'}"
usual Pendell ouml,is observed,plane wave conditions,observe,"{'watch', 'celebrate', 'observe', 'keep', 'remark', 'note', 'detect', 'notice', 'honor', 'honour', 'respect', 'discover', 'mention', 'find'}"
usual Pendell ouml,beating,plane wave conditions,beat,"{'thrum', 'crush', 'flap', 'vanquish', 'thump', 'drum', 'shell', 'beat', 'pound', 'trounce'}"
usual Pendell ouml sung,is observed,spherical rather than plane wave conditions,observe,"{'watch', 'celebrate', 'observe', 'keep', 'remark', 'note', 'detect', 'notice', 'honor', 'honour', 'respect', 'discover', 'mention', 'find'}"
usual Pendell ouml sung,beating,spherical rather than plane wave conditions,beat,"{'thrum', 'crush', 'flap', 'vanquish', 'thump', 'drum', 'shell', 'beat', 'pound', 'trounce'}"
present experiment,uses,effective width,use,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
present experiment,increase,effective width,increase,{'increase'}
first crystal,increase,effective width of the incident wave,increase,{'increase'}
Quantitative fringe,are,fair agreement,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
Quantitative fringe measurements,are,fair agreement with theory,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
contrast of the fringes,are,poor agreement,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
intensity and contrast of the fringes,are,poor agreement with theory,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
intensity dislocations,be brought,good agreement,bring,"{'wreak', 'fetch', 'convey', 'get', 'institute', 'land', 'add', 'bestow', 'bring', 'lend', 'contribute', 'impart', 'take'}"
asymmetric unit,contains,porphyrin molecule,contain,"{'moderate', 'curb', 'check', 'bear', 'carry', 'comprise', 'arrest', 'incorporate', 'control', 'stop', 'hold', 'contain'}"
Pd atom,is coordinated,S atoms,coordinate,"{'organize', 'ordinate', 'organise', 'align', 'coordinate'}"
Pd mdash,is,P distance,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
N atom from pyridine,is,mdash P distance,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
title compound,shows,metal ion,show,"{'show', 'testify', 'depict', 'demo', 'indicate', 'picture', 'display', 'evince', 'shew', 'render', 'express', 'present', 'evidence', 'prove', 'point', 'exhibit', 'reveal', 'establish', 'demonstrate'}"
title compound,be,metal ion,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
octahedral coordination,is completed,chloride ion,complete,"{'dispatch', 'nail', 'discharge', 'complete', 'finish'}"
water molecules,are,mer arrangement,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
octahedral coordination environment,is completed,three water molecules which are in a mer arrangement,complete,"{'dispatch', 'nail', 'discharge', 'complete', 'finish'}"
Sn atom of the title compound,is,distorted tetrahedral geometry,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
title compound,belongs,antiprotozoal drugs,belong,"{'dwell', 'belong', 'lie', 'consist'}"
aluminium digermanide,were synthesized,corresponding elements,synthesize,"{'synthesise', 'synthesize'}"
didysprosium aluminium digermanide,were synthesized,melting in the presence of Ni,synthesize,"{'synthesise', 'synthesize'}"
metal atoms,are distorted,capping atoms,distort,"{'colour', 'strain', 'color', 'twist', 'twine', 'warp', 'garble', 'falsify', 'contort', 'tinge', 'distort', 'deform', 'wring'}"
polyhedra around the metal atoms,are distorted,additional capping atoms,distort,"{'colour', 'strain', 'color', 'twist', 'twine', 'warp', 'garble', 'falsify', 'contort', 'tinge', 'distort', 'deform', 'wring'}"
title coordination,was,aerobic oxidation,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
title coordination,formed,aerobic oxidation,form,"{'organize', 'form', 'constitute', 'spring', 'mould', 'forge', 'mold', 'imprint', 'organise', 'shape'}"
CuII cation,is located,centre of inversion,locate,"{'site', 'situate', 'place', 'settle', 'locate'}"
centre of inversion,is,octahedral geometry,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
centre of inversion,exists,octahedral geometry,exist,"{'be', 'survive', 'live', 'subsist', 'exist'}"
title compound,was,methoxymethyl phenyl,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
title compound,obtained,methoxymethyl phenyl,obtain,"{'prevail', 'get', 'incur', 'receive', 'obtain'}"
crystal structure,is stabilized,hydrogen bond,stabilize,"{'brace', 'stabilise', 'steady', 'stabilize'}"
molecular packing in the crystal structure,is stabilized,intramolecular hydrogen bond and van,stabilize,"{'brace', 'stabilise', 'steady', 'stabilize'}"
site symmetry,are,framework with composition,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
phosphide pentanickel,has,reliability factors,have,"{'consume', 'let', 'get', 'receive', 'own', 'give', 'experience', 'have', 'possess', 'feature', 'hold', 'ingest', 'undergo'}"
phosphide pentanickel,leading,reliability factors,lead,"{'head', 'extend', 'top', 'lead', 'conduce', 'go', 'pass', 'run', 'leave', 'guide', 'contribute', 'result', 'conduct', 'direct', 'take'}"
reliability factors,found,Elfstr ouml,found,"{'constitute', 'institute', 'base', 'establish', 'found', 'plant', 'launch'}"
phosphide pentanickel tetraphosphide,has,improved reliability factors,have,"{'consume', 'let', 'get', 'receive', 'own', 'give', 'experience', 'have', 'possess', 'feature', 'hold', 'ingest', 'undergo'}"
phosphide pentanickel tetraphosphide,leading,improved reliability factors,lead,"{'head', 'extend', 'top', 'lead', 'conduce', 'go', 'pass', 'run', 'leave', 'guide', 'contribute', 'result', 'conduct', 'direct', 'take'}"
inversion symmetry,requires,coordination planes,require,"{'postulate', 'compel', 'require', 'expect', 'demand', 'necessitate', 'command', 'involve', 'ask', 'need', 'want', 'take'}"
two chelate rings,tilt,mean plane,tilt,"{'angle', 'lean', 'slant', 'pitch', 'shift', 'cant', 'tip', 'tilt', 'careen', 'wobble'}"
two chelate rings,lying,mean plane,lie,"{'belong', 'consist', 'lie', 'rest', 'dwell'}"
two chelate planes,form,dihedral angle,form,"{'organize', 'form', 'constitute', 'spring', 'mould', 'forge', 'mold', 'imprint', 'organise', 'shape'}"
centrosymmetric complex cation,is,Cu and two tridentate ligands,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
Cu mdash N distances,are found,ndash Teller distortion,found,"{'constitute', 'institute', 'base', 'establish', 'found', 'plant', 'launch'}"
Cu mdash N distances,expected,ndash Teller distortion,expect,"{'expect', 'require', 'look', 'anticipate', 'gestate', 'ask', 'await', 'wait'}"
structure of Mycobacterium,has been,data sets,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
structure of Mycobacterium,determined,data sets,determine,"{'watch', 'ascertain', 'find', 'regulate', 'see', 'limit', 'mold', 'decide', 'determine', 'settle', 'fix', 'influence', 'learn', 'shape', 'set', 'specify'}"
structure of Mycobacterium,using,data sets,use,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
Mycobacterium tuberculosis,indicating,clamp arrangement,indicate,"{'signal', 'bespeak', 'suggest', 'show', 'indicate', 'argue', 'betoken', 'point'}"
ellipsoidal shape,are,characteristic features,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
homologue from Mycobacterium tuberculosis,indicating,ellipsoidal shape of the tetramer,indicate,"{'signal', 'bespeak', 'suggest', 'show', 'indicate', 'argue', 'betoken', 'point'}"
ellipsoidal shape of the tetramer,are,characteristic features of mycobacterial SSBs,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
The central OB fold,is conserved,Deinococcus radiodurans and human mitochondria,conserve,"{'economise', 'economize', 'maintain', 'preserve', 'conserve', 'husband'}"
quaternary structure,exhibits,considerable variability,exhibit,"{'exhibit', 'parade', 'show', 'expose', 'display', 'present', 'demo', 'march', 'demonstrate'}"
crystal structures,provide,rationale for the variability,provide,"{'provide', 'furnish', 'leave', 'supply', 'ply', 'cater', 'render', 'allow'}"
DNA binding of mycobacterial SSBs,is,difference in the shape of the tetramers,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
mode of DNA binding of mycobacterial SSBs,is,account of the difference in the shape of the tetramers,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
difference between the two modes,is,ionic interactions,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
ionic interactions,is,salt concentration,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
Protein crystallization,consists,initial screen,consist,"{'belong', 'consist', 'comprise', 'lie', 'dwell'}"
crystallization cocktails,requires,new cocktails,require,"{'postulate', 'compel', 'require', 'expect', 'demand', 'necessitate', 'command', 'involve', 'ask', 'need', 'want', 'take'}"
Asynchronous crystallization robots,create,crystallization cocktails from stock solutions,create,"{'produce', 'make', 'create'}"
optimization screens,rely,manual optimization,rely,"{'trust', 'bank', 'rely', 'swear'}"
software and dataflow,saves,cost and space,save,"{'economise', 'economize', 'preserve', 'spare', 'salvage', 'salve', 'deliver', 'redeem', 'relieve', 'save'}"
crystal screen,has been,commercial screen,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
crystal screen,reproduced,commercial screen,reproduce,"{'multiply', 'procreate', 'regurgitate', 'reproduce'}"
crystal screen,shows,commercial screen,show,"{'show', 'testify', 'depict', 'demo', 'indicate', 'picture', 'display', 'evince', 'shew', 'render', 'express', 'present', 'evidence', 'prove', 'point', 'exhibit', 'reveal', 'establish', 'demonstrate'}"
crystal screen,are,commercial screen,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
